Name,Year Membership
Jeong-Do Hong,2010
Jill Otto,2010
Jon Favreau,2010
Jose Ignacio Peralta S†nchez,2010
Josh Viertel,2010
Julia Novy-Hildesley,2010
Julian Castro,2010
Katerina Janku,2010
Kellie Leitch,2010
Kelly Grier,2010
Kevin Lu,2010
Kevin Warsh,2010
Khanyi Dhlomo,2010
Kimmie Weeks,2010
Kristen Karen Davila,2010
Kuk Yi,2010
Lawrence Kego Masha,2010
Leo Schlesinger,2010
Lewis Gordon Pugh,2010
Lisa Heydlauff,2010
Lisa Witter,2010
Liya Kebede,2010
Lorna Solis,2010
Lucian Tarnowski,2010
Lucy Hockings,2010
Luis Miguel Castillo,2010
Luis Von Ahn,2010
Ma Ke,2010
Mandla Mandela,2010
Mandla Sibeko,2010
Manisha Girotra,2010
Marcel Pinas,2010
Marco Magnani,2010
Margo Drakos,2010
Marissa Mayer,2010
Mark Turrell,2010
Marlene Malahoo Forte,2010
Martyn J. Davies,2010
Mathilde Cathiard-Thomas,2010
Michael Drexler,2010
Michelle Rhee,2010
Mikkel Vestergaard Frandsen,2010
Mina Guli,2010
Moritz Lehmkuhl,2010
Muhammad Tabba,2010
Nabil Alyousuf,2010
Nadine Labaki,2010
Najila Al Awadhi,2010
Nandasiri Wanninayaka,2010
Nandita Das,2010
Narendra Murkumbi,2010
Nathalie Kosciusko-Morizet,2010
Nathalie van Ypersele,2010
Nathan Wolfe,2010
Nathaniel Fick,2010
Oliver Niedermaier,2010
Oliver Wyman,2010
